Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,Diesel_MW,PLN_MW,Gas_MW,Hydro_MW,GHG_Intensity,Tahun,Mining_RpMiliar,Processing_RpMiliar,Electricity_RpMiliar,Construction_RpMiliar,Work_Absence,Child_Asthma,Low_Birth_Weight,Agri_Loss_RpMiliar
Obsidian Stainless Steel,PT Obsidian Stainless Steel,-3.87107080589466,122.40347199787,10800000.0,1780.0,0.0,0.0,0.0,0.0,60.0,1,0.4551734587035238,0.3468989408133091,0.1772037879479241,0.0792911864716135,7798.663621237317,2.327676875587139,3.363868516977543,-59.17104790444158
Obsidian Stainless Steel,PT Obsidian Stainless Steel,-3.87107080589466,122.40347199787,10800000.0,1780.0,0.0,0.0,0.0,0.0,66.0,9,-0.0294338495235535,-0.0370926573077434,-0.012464334237015,-0.0971617379680567,77986.63621237317,23.27676875587139,33.63868516977543,-17.63177690081845
QMB New Energy Materials Indonesia,GEM,-2.86010717942546,122.171462609067,4450000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.424562359551944,1.823032159235872,7.133161295392434,5.747178623930623,1402.8314384423618,0.4206656670570993,0.8634716323803618,-0.0484429726063649
QMB New Energy Materials Indonesia,GEM,-2.86010717942546,122.171462609067,4450000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.2878238774601206,0.2488569525116735,-0.0252399400234259,-0.1660522369962234,14028.314384423617,4.206656670570993,8.634716323803618,-9.886085981807156
Ranger Nickel Industry,Nickel Industries,-2.85105650826125,122.163937924412,1800000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.1719007925924656,0.7381263695277235,2.8881412889779203,2.3269716177071467,567.9915581691291,0.1703230631652507,0.349610498076041,-0.0196140453792404
Ranger Nickel Industry,Nickel Industries,-2.85105650826125,122.163937924412,1800000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.1165368326920136,0.1007595384198641,-0.010219383789915,-0.0672327880915463,5679.915581691291,1.7032306316525074,3.49610498076041,-4.002771271818303
Sinar Deli Bantaeng,Sinar Deli Bantaeng,-5.58047426678859,120.068267466755,2400000.0,0.0,0.0,23.0,0.0,0.0,60.0,1,0.0544893004774878,0.0415276423962378,0.0212132545573855,0.0094920325477115,933.586344403354,0.278648682745319,0.4026922899029126,-7.0834292887297154
Sinar Deli Bantaeng,Sinar Deli Bantaeng,-5.58047426678859,120.068267466755,2400000.0,0.0,0.0,23.0,0.0,0.0,66.0,9,-0.0035235575366504,-0.0044404015895544,-0.0014921187527652,-0.0116313353378207,9335.86344403354,2.78648682745319,4.026922899029127,-2.1107188284598646
Smelter Nikel Indonesia,Smelter Nikel Indonesia,-6.211031,106.456376,2401920.0,0.0,0.0,2.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smelter Nikel Indonesia,Smelter Nikel Indonesia,-6.211031,106.456376,2401920.0,0.0,0.0,2.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulawesi Mining Investment,Sulawesi Mining Investment,-2.82450203373249,122.162005624412,3000000.0,640.0,0.0,0.0,0.0,0.0,60.0,1,0.2869532876050021,1.232151319430323,4.821162400948039,3.884404171699335,948.1459770515507,0.2843195903470505,0.5836033696597352,-0.0327416454568077
Sulawesi Mining Investment,Sulawesi Mining Investment,-2.82450203373249,122.162005624412,3000000.0,640.0,0.0,0.0,0.0,0.0,66.0,9,0.194534456553245,0.1681974839737288,-0.017059175420823,-0.1122314172422567,9481.459770515508,2.843195903470505,5.836033696597353,-6.681809656934999
Sulawesi Resources,Sulawesi Resources,-2.70055948941961,121.98016583085,2400000.0,60.0,0.0,0.0,0.0,0.0,60.0,1,0.2309459083251107,0.9916607265065508,3.880170668762213,3.1262483772962164,763.087385137012,0.2288262545983054,0.4696959962807321,-0.0263511497400574
Sulawesi Resources,Sulawesi Resources,-2.70055948941961,121.98016583085,2400000.0,60.0,0.0,0.0,0.0,0.0,66.0,9,0.1565653320935773,0.1353687948255238,-0.0137295752758983,-0.09032615313091,7630.87385137012,2.288262545983054,4.6969599628073215,-5.37765785280186
Teluk Metal Industry,Teluk Metal Industry,-2.83606038957607,122.118785655752,8000000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.7661806045991049,3.289909834308005,12.872761117529183,10.371566611484962,2531.600400918017,0.7591484922498433,1.5582521683023098,-0.0874219421601398
Teluk Metal Industry,Teluk Metal Industry,-2.83606038957607,122.118785655752,8000000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.5194173894341032,0.4490962659414862,-0.0455489095349905,-0.2996638785196749,25316.004009180167,7.591484922498432,15.582521683023096,-17.84078867154737
Titan Mineral Utama,Titan Mineral Utama,-5.56626059272201,120.048542928533,1094000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.0247165939749777,0.0188371270479045,0.0096224285352932,0.004305629039521,423.479002538028,0.126396307031394,0.1826630501614985,-3.213075670742573
Titan Mineral Utama,Titan Mineral Utama,-5.56626059272201,120.048542928533,1094000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,-0.0015983016889131,-0.0020141863120486,-0.0006768318376519,-0.0052760264935039,4234.79002538028,1.2639630703139406,1.826630501614985,-0.9574316392616758
