Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,Diesel_MW,PLN_MW,Gas_MW,Hydro_MW,GHG_Intensity,Tahun,Mining_RpMiliar,Processing_RpMiliar,Electricity_RpMiliar,Construction_RpMiliar,Work_Absence,Child_Asthma,Low_Birth_Weight,Agri_Loss_RpMiliar
Gunbuster Nickel Industry,Gunbuster Nickel Industry,-2.00042547039831,121.43504311042,21600000.0,2295.0,0.0,0.0,0.0,0.0,60.0,1,1.756588555241917,7.542631499719413,29.512812929069714,23.77843435386404,5804.088832325986,1.7404663407173773,3.572536173051459,-0.2004284396573485
Gunbuster Nickel Industry,Gunbuster Nickel Industry,-2.00042547039831,121.43504311042,21600000.0,2295.0,0.0,0.0,0.0,0.0,66.0,9,1.1908453910171528,1.0296232457717536,-0.10442798044304262,-0.6870261871252804,58040.88832325986,17.40466340717377,35.725361730514585,-40.9027910766907
Halmahera Persada Lygend,Harita Nickel and Lygend Resources,-1.53887378195392,127.420130725153,8500000.0,1250.0,0.0,0.0,0.0,0.0,60.0,1,38.32189986186246,0.2481184840522011,0.14219097739914602,0.010306460106783738,1845.600714566446,0.1717743351130623,0.33400565160873225,-1.4801221875575534
Halmahera Persada Lygend,Harita Nickel and Lygend Resources,-1.53887378195392,127.420130725153,8500000.0,1250.0,0.0,0.0,0.0,0.0,66.0,9,-0.000954301861739235,-0.06775543218348568,-0.0023857546543480878,-0.0004771509308696175,18456.00714566446,1.717743351130623,3.3400565160873223,-1.2968962301036204
Heng Tai Yuan Indonesia,Heng Tai Yuan Indonesia,-6.0008994834225,106.019090624431,400000.0,12.0,0.0,0.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heng Tai Yuan Indonesia,Heng Tai Yuan Indonesia,-6.0008994834225,106.019090624431,400000.0,12.0,0.0,0.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hengjaya Nickel Industry,Nickel Industries,-2.84720726843122,122.164215585423,1800000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.17193802976945846,0.7382862625791203,2.8887669186026352,2.3274756866685453,568.1145965906685,0.17035995857424444,0.3496862307576596,-0.01961829417686562
Hengjaya Nickel Industry,Nickel Industries,-2.84720726843122,122.164215585423,1800000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.11656207691921987,0.10078136496707933,-0.010221597514454664,-0.06724735206878069,5681.145965906685,1.7035995857424442,3.496862307576596,-4.003638352766927
Huadi Nickel-Alloy Indonesia,Shanghai Huadi Industry Co. Ltd.,-5.57950003433346,120.065774009083,522000.0,0.0,0.0,390.0,0.0,0.0,60.0,1,0.011839281673536721,0.009023009127637685,0.004609156177754315,0.0020624020863171852,202.84701035068872,0.06054400063999313,0.08749584608618362,-1.5390675569141994
Huadi Nickel-Alloy Indonesia,Shanghai Huadi Industry Co. Ltd.,-5.57950003433346,120.065774009083,522000.0,0.0,0.0,390.0,0.0,0.0,66.0,9,-0.0007655886532541066,-0.0009647979456824711,-0.00032420335826576966,-0.002527223768650036,2028.470103506887,0.6054400063999312,0.8749584608618362,-0.45861103968655437
Huake Nickel Indonesia,Zheijhang Huayou Cobalt,0.487095939709902,127.993195587294,3600000.0,250.0,0.0,0.0,0.0,0.0,60.0,1,22.60267263899407,0.14634297597276835,0.08386578238439417,0.0060788620788688385,1088.5553410454404,0.10131436798114733,0.197000159963342,-0.8729921374375527
Huake Nickel Indonesia,Zheijhang Huayou Cobalt,0.487095939709902,127.993195587294,3600000.0,250.0,0.0,0.0,0.0,0.0,66.0,9,-0.0005628575998952629,-0.03996288959256366,-0.0014071439997381573,-0.00028142879994763143,10885.553410454404,1.0131436798114732,1.97000159963342,-0.7649234782576622
Huayue Nickel Cobalt,Zhiejhang Huayou Cobalt Co. Ltd.,-2.85111166723729,122.180043120576,8000000.0,250.0,0.0,0.0,0.0,0.0,60.0,1,0.7633115255860115,3.27759026995996,12.82455711896648,10.332728713580353,2522.1204407934547,0.7563057460437119,1.5524170576686718,-0.08709457749177062
Huayue Nickel Cobalt,Zhiejhang Huayou Cobalt Co. Ltd.,-2.85111166723729,122.180043120576,8000000.0,250.0,0.0,0.0,0.0,0.0,66.0,9,0.5174723525562239,0.4474145571332275,-0.04537834476262271,-0.29854174185935994,25221.204407934543,7.563057460437119,15.524170576686718,-17.773981143338855
GO STAL Nickel Indonesia,PT Trinitan Resourcetama Indonesia,-6.44227180460602,106.935760532311,300000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO STAL Nickel Indonesia,PT Trinitan Resourcetama Indonesia,-6.44227180460602,106.935760532311,300000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia Guang Ching Nickel and SSI,Indonesia Guang Ching Nickel SSI,-2.82831965030396,122.162319664885,7200000.0,300.0,0.0,0.0,0.0,0.0,60.0,1,0.6885425539682036,2.9565391058480337,11.56834793687296,9.320602636580428,2275.0701273456066,0.6822230144657838,1.4003525033771353,-0.07856336608690184
